omega,a,action,Count
0.8,2,4,0.179688
1,1,1,0.0017748
1,1,2,0.995122
1,1,3,0.0010467
1,1,4,0.0020567
1,1.0101,1,0.0016961
1,1.0101,2,0.995549
1,1.0101,3,0.0009095
1,1.0101,4,0.001845
1,1.0202,1,0.0014775
1,1.0202,2,0.996163
1,1.0202,3,0.000762
1,1.0202,4,0.0015979
1,1.0303,1,0.0023327
1,1.0303,2,0.994434
1,1.0303,3,0.0010202
1,1.0303,4,0.0022135
1,1.0404,1,0.0017669
1,1.0404,2,0.995474
1,1.0404,3,0.0011283
1,1.0404,4,0.0016308
1,1.05051,1,0.0018707
1,1.05051,2,0.99517
1,1.05051,3,0.0008746
1,1.05051,4,0.0020847
1,1.06061,1,0.0018076
1,1.06061,2,0.995656
1,1.06061,3,0.000861
1,1.06061,4,0.0016757
1,1.07071,1,0.0018598
1,1.07071,2,0.995107
1,1.07071,3,0.0010552
1,1.07071,4,0.0019778
1,1.08081,1,0.0017565
1,1.08081,2,0.995767
1,1.08081,3,0.0008848
1,1.08081,4,0.0015918
1,1.09091,1,0.001874
1,1.09091,2,0.995641
1,1.09091,3,0.0007675
1,1.09091,4,0.001718
1,1.10101,1,0.0013825
1,1.10101,2,0.996524
1,1.10101,3,0.0006706
1,1.10101,4,0.0014232
1,1.11111,1,0.0015443
1,1.11111,2,0.996118
1,1.11111,3,0.0007036
1,1.11111,4,0.0016339
1,1.12121,1,0.0015564
1,1.12121,2,0.995795
1,1.12121,3,0.0009123
1,1.12121,4,0.0017366
1,1.13131,1,0.0018797
1,1.13131,2,0.995383
1,1.13131,3,0.000915
1,1.13131,4,0.0018224
1,1.14141,1,0.0016944
1,1.14141,2,0.995629
1,1.14141,3,0.0010725
1,1.14141,4,0.0016038
1,1.15152,1,0.0018239
1,1.15152,2,0.995488
1,1.15152,3,0.0008973
1,1.15152,4,0.0017906
1,1.16162,1,0.0014316
1,1.16162,2,0.996179
1,1.16162,3,0.0006734
1,1.16162,4,0.001716
1,1.17172,1,0.0017231
1,1.17172,2,0.994994
1,1.17172,3,0.0010417
1,1.17172,4,0.0022413
1,1.18182,1,0.0020386
1,1.18182,2,0.995191
1,1.18182,3,0.0008754
1,1.18182,4,0.0018946
1,1.19192,1,0.0015274
1,1.19192,2,0.996149
1,1.19192,3,0.0007122
1,1.19192,4,0.001611
1,1.20202,1,0.0019277
1,1.20202,2,0.994791
1,1.20202,3,0.0010853
1,1.20202,4,0.0021956
1,1.21212,1,0.0010294
1,1.21212,2,0.997311
1,1.21212,3,0.000562
1,1.21212,4,0.0010979
1,1.22222,1,0.002174
1,1.22222,2,0.994457
1,1.22222,3,0.0010286
1,1.22222,4,0.0023405
1,1.23232,1,0.0021522
1,1.23232,2,0.995107
1,1.23232,3,0.0009384
1,1.23232,4,0.0018022
1,1.24242,1,0.0020241
1,1.24242,2,0.994865
1,1.24242,3,0.0011499
